p,t,success,alpha,x11,x12,x22,value,const_value,dist_to_constant,category,is_constant_minimizer
0.01,0.01,True,0.5,0.01,0.01,0.01,0.0,0.0,0.0,constant,True
0.01,0.02,True,0.019044072944813483,0.9882206275853941,0.011778665988605606,0.010547353573484368,0.0016472881114111665,0.003913619576461304,0.9682206275853941,one_dense_x11,False
0.01,0.03,True,0.029791453975842354,0.9885111042576807,0.011489909385070027,0.010335025661886576,0.003996156559883443,0.013161763177772382,0.9585111042576807,one_dense_x11,False
0.01,0.04,True,0.04010075691173986,0.9886323389178066,0.011368234876899386,0.010244563531222859,0.007231157718658273,0.025910982124712115,0.9486323389178065,one_dense_x11,False
0.01,0.05,True,0.050301051951003053,0.988700259695882,0.011299520582587593,0.010193236199207104,0.011373516829313327,0.04129108501435834,0.938700259695882,one_dense_x11,False
0.01,0.06,True,0.060460627167973104,0.9887440935090107,0.011255021317658808,0.01015990429996753,0.016429361939618522,0.058790004360972446,0.9287440935090108,one_dense_x11,False
0.01,0.07,True,0.07060134141733528,0.9887763486159454,0.011224105454508979,0.010136520128915682,0.022401180732685773,0.07806977844123127,0.9187763486159455,one_dense_x11,False
0.01,0.08,True,0.08073227458403048,0.9887995720840794,0.011200810899139324,0.0101191853649989,0.029290182066309452,0.09889055209568129,0.9087995720840795,one_dense_x11,False
0.01,0.09,True,0.09085755145501015,0.9888171830316426,0.011183076123295499,0.010105832691369191,0.03709702581231738,0.12107329926811648,0.8988171830316426,one_dense_x11,False
0.01,0.1,True,0.10097930083389445,0.9888313932846131,0.011168987984913184,0.010095199717032311,0.045822103167951156,0.14447934747551236,0.8888313932846131,one_dense_x11,False
0.01,0.11,True,0.11109878891647633,0.9888427666044288,0.011157467788533102,0.010086552222449516,0.05546566085823874,0.16899818244964024,0.8788427666044288,one_dense_x11,False
0.01,0.12,True,0.12121672614541928,0.9888521723648117,0.01114797732181766,0.010079372901975601,0.06602786234100816,0.19453972659694266,0.8688521723648117,one_dense_x11,False
0.01,0.13,True,0.13133355749002074,0.9888602015151993,0.011139941518697008,0.010073315916617398,0.07750882008178339,0.2210292100823944,0.8588602015151993,one_dense_x11,False
0.01,0.14,True,0.14144959971776433,0.9888670363948164,0.011133079908472046,0.010068136181670767,0.089908614175091,0.2484036298084057,0.8488670363948164,one_dense_x11,False
0.01,0.15,True,0.15156505129957987,0.9888729542375319,0.011127151353029156,0.010063661378696524,0.10322730311034434,0.27660922556769907,0.8388729542375318,one_dense_x11,False
0.01,0.16,True,0.16168005386636558,0.9888781401530085,0.011121915487980515,0.010059736577187086,0.1174649306376745,0.3055996324736929,0.8288781401530084,one_dense_x11,False
0.01,0.17,True,0.17179471308135047,0.9888826786684319,0.01111741917608102,0.01005631345260167,0.13262152996768556,0.3353344973490234,0.8188826786684319,one_dense_x11,False
0.01,0.18,True,0.18190910055083345,0.9888867134694019,0.011113377752365507,0.010053260481719098,0.14869712704381627,0.36577842206763356,0.808886713469402,one_dense_x11,False
0.01,0.19,True,0.19202327616576406,0.9888902954853721,0.011109765236922586,0.010050533671119917,0.16569174251508337,0.39690014271728125,0.798890295485372,one_dense_x11,False
0.01,0.2,True,0.2021372683520114,0.9888935572349655,0.011106519569738446,0.010048078553615728,0.18360539226455969,0.42867188234223164,0.7888935572349656,one_dense_x11,False
0.01,0.21,True,0.21225112171844857,0.9888964873632698,0.011103588118929912,0.010045866667056872,0.20243808971838337,0.4610688337645397,0.7788964873632699,one_dense_x11,False
0.01,0.22,True,0.22236463224701336,0.988900153573428,0.011100890977214275,0.010043818713713579,0.22218984559967542,0.4940687414517309,0.768900153573428,one_dense_x11,False
0.01,0.23,True,0.2324784980087364,0.9889015651343211,0.011098493154972976,0.010042011594391805,0.24286066869606868,0.5276515598874068,0.7589015651343212,one_dense_x11,False
